,Enc hidden size,Enc Embedding size,Dec Embedding size,Dense Layer size,Dense Layer size aa,Drop rate,Drop rate aa
0,506.0,100.0,59.0,55.0,109.0,0.7,0.1
1,510.0,42.0,224.0,125.0,139.0,0.0,0.7
2,468.0,40.0,43.0,122.0,240.0,0.5,0.8
