,loss,time_distributed_2_loss,time_distributed_3_loss,time_distributed_2_accuracy,time_distributed_3_accuracy,val_loss,val_time_distributed_2_loss,val_time_distributed_3_loss,val_time_distributed_2_accuracy,val_time_distributed_3_accuracy
0,2.945957899093628,1.7115057706832886,1.2344521284103394,0.04487571865320206,0.10908355563879013,2.8973960876464844,1.6845393180847168,1.2128568887710571,0.05250520631670952,0.12074416875839233
1,2.879143714904785,1.6748926639556885,1.2042505741119385,0.05552319437265396,0.12689469754695892,2.8529186248779297,1.6680259704589844,1.1848924160003662,0.05868858844041824,0.1431366503238678
2,1.9056342840194702,1.5451749563217163,0.3604597747325897,0.11912011355161667,0.7492461800575256,0.82164067029953,0.8088842034339905,0.012756417505443096,0.4306017756462097,0.9929072856903076
3,0.5465381741523743,0.5411044955253601,0.005433636251837015,0.4607672095298767,0.9968612194061279,0.4860594868659973,0.483163982629776,0.002895480254665017,0.4661465883255005,0.9983931183815002
4,0.47670432925224304,0.47451573610305786,0.002188774524256587,0.4720032215118408,0.9987661242485046,0.47132593393325806,0.46944868564605713,0.0018773326883092523,0.4769991934299469,0.9989747405052185
5,0.46721991896629333,0.46572741866111755,0.0014925376744940877,0.4800758957862854,0.9991639852523804,0.465688019990921,0.4642128050327301,0.001475211582146585,0.480912983417511,0.999199628829956
6,0.46300452947616577,0.4619000554084778,0.0011044912971556187,0.4826941192150116,0.9993860125541687,0.46255210041999817,0.4614262282848358,0.0011259594466537237,0.4826989769935608,0.9993996024131775
7,0.46059781312942505,0.45973315834999084,0.0008647762006148696,0.48423728346824646,0.9995312094688416,0.46067777276039124,0.45965686440467834,0.0010209019528701901,0.48429107666015625,0.9994803071022034
8,0.4586368501186371,0.4579470753669739,0.00068992271553725,0.486100971698761,0.9996395707130432,0.4587879776954651,0.4579496383666992,0.0008383177919313312,0.48649492859840393,0.9995864033699036
9,0.4564635753631592,0.45585721731185913,0.0006064887857064605,0.489276260137558,0.9996944069862366,0.4562144875526428,0.4554472863674164,0.0007671149796806276,0.4903688132762909,0.9996249079704285
10,0.4541855454444885,0.4536532461643219,0.0005321986973285675,0.49237146973609924,0.9997351169586182,0.45473533868789673,0.4539956748485565,0.0007396858418360353,0.4916303753852844,0.9996399283409119
11,0.45297032594680786,0.4524758458137512,0.0004944808315485716,0.49331963062286377,0.999749481678009,0.45365893840789795,0.4530480206012726,0.0006109706591814756,0.49242523312568665,0.9997141361236572
12,0.4520646929740906,0.45163580775260925,0.00042866499279625714,0.4941190481185913,0.9997843503952026,0.4529847502708435,0.45235833525657654,0.0006264033727347851,0.4928435683250427,0.999713659286499
13,0.4513365924358368,0.4509164094924927,0.0004202017153147608,0.4947902262210846,0.999795138835907,0.4524008631706238,0.4518277049064636,0.0005731847486458719,0.4936652183532715,0.9997230172157288
14,0.45069897174835205,0.45033174753189087,0.0003672561142593622,0.49538013339042664,0.9998169541358948,0.4516889154911041,0.45115017890930176,0.0005387542187236249,0.4942741394042969,0.9997488260269165
15,0.45014697313308716,0.44980156421661377,0.0003456028935033828,0.4960249066352844,0.9998330473899841,0.4513491690158844,0.4507721960544586,0.0005769849522039294,0.49458542466163635,0.9997262954711914
16,0.449740469455719,0.4493805170059204,0.00035981819382868707,0.49642589688301086,0.9998086094856262,0.45107436180114746,0.45047494769096375,0.0005994386156089604,0.49485257267951965,0.9997300505638123
17,0.44936272501945496,0.4490070939064026,0.0003558213938958943,0.4968952238559723,0.999810516834259,0.45055142045021057,0.4500567615032196,0.0004945426480844617,0.4955422878265381,0.999784529209137
18,0.4489533007144928,0.4486546516418457,0.0002987335901707411,0.49727576971054077,0.9998472332954407,0.4502808749675751,0.44983330368995667,0.0004475571622606367,0.4955972135066986,0.999802827835083
19,0.4486200213432312,0.4483191668987274,0.00030070971115492284,0.4978443384170532,0.9998412728309631,0.4500071406364441,0.4495108723640442,0.000496149470563978,0.4960920810699463,0.9997784495353699
20,0.44835105538368225,0.44803109765052795,0.0003199790953658521,0.49809491634368896,0.9998235702514648,0.4497819244861603,0.4493243992328644,0.00045753171434625983,0.4960610866546631,0.9997967481613159
21,0.44801563024520874,0.4477728009223938,0.00024270996800623834,0.4984997808933258,0.9998749494552612,0.44951197504997253,0.44908300042152405,0.00042909046169370413,0.4966254234313965,0.9998098611831665
22,0.44774436950683594,0.44751471281051636,0.00022965941752772778,0.4990348517894745,0.9998750686645508,0.4496653974056244,0.44910895824432373,0.0005565480678342283,0.49659866094589233,0.9997544884681702
23,0.44757920503616333,0.4473179280757904,0.00026120830443687737,0.499227911233902,0.9998525381088257,0.4493716061115265,0.44892245531082153,0.00044913875171914697,0.49684563279151917,0.999790608882904
24,0.44731974601745605,0.4470657706260681,0.0002541180874686688,0.49943044781684875,0.9998499751091003,0.44927263259887695,0.44879165291786194,0.0004809972015209496,0.49699869751930237,0.9997793436050415
25,0.44706442952156067,0.44682788848876953,0.00023657589918002486,0.49993231892585754,0.9998693466186523,0.4489319920539856,0.4484822750091553,0.000449803308583796,0.49731749296188354,0.9997925162315369
26,0.4469490051269531,0.4466613233089447,0.000287913775537163,0.5000497102737427,0.9998281002044678,0.4487304091453552,0.4482886791229248,0.00044188424362801015,0.49741843342781067,0.9997943639755249
27,0.446581095457077,0.44636017084121704,0.0002210363163612783,0.5005400776863098,0.9998683929443359,0.4486715495586395,0.44827672839164734,0.0003947739605791867,0.49759307503700256,0.9998319149017334
28,0.4463321566581726,0.44613081216812134,0.00020135556405875832,0.5009057521820068,0.9998855590820312,0.4486323595046997,0.44822439551353455,0.00040794056258164346,0.49780577421188354,0.9998338222503662
29,0.4462800621986389,0.44604042172431946,0.00023962632985785604,0.5011374950408936,0.9998546838760376,0.4483688771724701,0.44792643189430237,0.00044250747305341065,0.4981367588043213,0.9997957944869995
30,0.4460034966468811,0.4457840919494629,0.00021946050401311368,0.5014094710350037,0.9998674392700195,0.44830986857414246,0.44792163372039795,0.00038822542410343885,0.4983057975769043,0.9998037815093994
31,0.4458102285861969,0.44559037685394287,0.0002198515139752999,0.5018251538276672,0.9998607635498047,0.448188841342926,0.4478030204772949,0.00038586201844736934,0.49835509061813354,0.9998206496238708
32,0.44558775424957275,0.4453928768634796,0.00019472847634460777,0.5020601153373718,0.9998778104782104,0.4480467140674591,0.44761985540390015,0.0004267859039828181,0.49880674481391907,0.9997962713241577
33,0.44537293910980225,0.44515490531921387,0.00021814314823132008,0.5024058818817139,0.9998611211776733,0.4480038285255432,0.4476146697998047,0.0003891215310432017,0.4989260137081146,0.9998258352279663
34,0.44511935114860535,0.4449451267719269,0.00017420599760953337,0.502851128578186,0.9998923540115356,0.4477677643299103,0.4474029541015625,0.0003648142737802118,0.49886685609817505,0.9998206496238708
35,0.4450187087059021,0.4448137879371643,0.00020492318435572088,0.5031251907348633,0.9998661875724792,0.4477337896823883,0.4473102390766144,0.0004235347150824964,0.4995053708553314,0.9997765421867371
36,0.4447818696498871,0.4445909559726715,0.00019080792844761163,0.5034038424491882,0.9998663067817688,0.4475938081741333,0.4472031891345978,0.0003906342899426818,0.49943307042121887,0.9998117685317993
37,0.44456157088279724,0.4443832039833069,0.00017855539044830948,0.5038744807243347,0.9998877644538879,0.44754844903945923,0.447165310382843,0.00038322946056723595,0.49961617588996887,0.99983149766922
38,0.44439446926116943,0.4442266821861267,0.00016798541764728725,0.5040489435195923,0.9998906850814819,0.44753068685531616,0.4469442069530487,0.0005865286220796406,0.49976032972335815,0.999669075012207
39,0.4442470073699951,0.4440438449382782,0.00020316797599662095,0.5044781565666199,0.9998634457588196,0.44722551107406616,0.44683659076690674,0.00038884716923348606,0.5001856684684753,0.9998014569282532
40,0.44393807649612427,0.44379955530166626,0.00013852059782948345,0.5048182010650635,0.9999078512191772,0.44709739089012146,0.44676271080970764,0.0003345909935887903,0.4997410774230957,0.9998390078544617
41,0.4437323808670044,0.4435802102088928,0.00015218208136502653,0.5051437616348267,0.9998929500579834,0.44706547260284424,0.4466856122016907,0.0003797770768869668,0.5002354383468628,0.9998056292533875
42,0.4436653256416321,0.44347891211509705,0.00018661818467080593,0.5053775906562805,0.9998734593391418,0.44691747426986694,0.44658687710762024,0.0003306642174720764,0.5004575252532959,0.9998418092727661
43,0.443487286567688,0.44330236315727234,0.00018505625484976918,0.5057574510574341,0.9998772144317627,0.44717466831207275,0.4467296898365021,0.00044495760812424123,0.5003852248191833,0.999758243560791
44,0.44345468282699585,0.4432224929332733,0.00023228143982123584,0.5059036016464233,0.9998444318771362,0.4469175636768341,0.4465731084346771,0.00034449619124643505,0.5008134245872498,0.9998263120651245
45,0.4431087076663971,0.44293931126594543,0.00016944830713327974,0.5061632394790649,0.9998843669891357,0.4467328190803528,0.4463719427585602,0.0003608686092775315,0.5008922815322876,0.9998140931129456
46,0.4428313374519348,0.4426957070827484,0.00013566031702794135,0.5067421197891235,0.9999048113822937,0.4464578926563263,0.4461478590965271,0.0003100703179370612,0.5016026496887207,0.9998460412025452
47,0.4426862597465515,0.44255149364471436,0.00013487764226738364,0.5070782899856567,0.9999089241027832,0.4464834928512573,0.44615182280540466,0.0003316311922390014,0.5015369057655334,0.9998310208320618
48,0.44260624051094055,0.44243448972702026,0.0001717844425002113,0.5071982741355896,0.9998735785484314,0.4466637670993805,0.4463140368461609,0.00034973747096955776,0.5013110637664795,0.9998356699943542
49,0.4422859847545624,0.44216203689575195,0.00012387918832246214,0.5076473355293274,0.9999094605445862,0.44647711515426636,0.44614097476005554,0.0003361903945915401,0.5013214349746704,0.9998300671577454
